Gene	Term
UQCRC2	Reactive oxygen species
UQCRH	Reactive oxygen species
UQCRHL	Reactive oxygen species
UQCRB	Reactive oxygen species
UQCRQ	Reactive oxygen species
UQCR10	Reactive oxygen species
UQCR11	Reactive oxygen species
COX3	Reactive oxygen species
COX1	Reactive oxygen species
COX2	Reactive oxygen species
COX4I2	Reactive oxygen species
COX4I1	Reactive oxygen species
COX5A	Reactive oxygen species
COX5B	Reactive oxygen species
COX6A1	Reactive oxygen species
COX6A2	Reactive oxygen species
COX6B1	Reactive oxygen species
COX6B2	Reactive oxygen species
COX6C	Reactive oxygen species
COX7A1	Reactive oxygen species
COX7A2	Reactive oxygen species
COX7A2L	Reactive oxygen species
COX7B	Reactive oxygen species
COX7B2	Reactive oxygen species
COX7C	Reactive oxygen species
COX8C	Reactive oxygen species
COX8A	Reactive oxygen species
ATP5F1A	Reactive oxygen species
ATP5F1B	Reactive oxygen species
ATP5F1C	Reactive oxygen species
ATP5F1D	Reactive oxygen species
ATP5F1E	Reactive oxygen species
ATP6	Reactive oxygen species
ATP5PB	Reactive oxygen species
ATP5MC1	Reactive oxygen species
ATP5MC2	Reactive oxygen species
ATP5MC3	Reactive oxygen species
ATP5PD	Reactive oxygen species
ATP5PO	Reactive oxygen species
ATP5PF	Reactive oxygen species
ATP8	Reactive oxygen species
SOD2	Reactive oxygen species
VDAC1	Reactive oxygen species
VDAC2	Reactive oxygen species
VDAC3	Reactive oxygen species
SLC25A4	Reactive oxygen species
SLC25A5	Reactive oxygen species
SLC25A6	Reactive oxygen species
SLC25A31	Reactive oxygen species
PPIF	Reactive oxygen species
SOD1	Reactive oxygen species
CAT	Reactive oxygen species
SLC26A1	Reactive oxygen species
SLC26A2	Reactive oxygen species
SLC26A6	Reactive oxygen species
SLC26A9	Reactive oxygen species
CYP1A2	Reactive oxygen species
CYP2E1	Reactive oxygen species
CYP2F1	Reactive oxygen species
CYP1A1	Reactive oxygen species
CYP1B1	Reactive oxygen species
EPHX1	Reactive oxygen species
EPHX2	Reactive oxygen species
EPHX3	Reactive oxygen species
EPHX4	Reactive oxygen species
AKR1A1	Reactive oxygen species
AKR1C1	Reactive oxygen species
AKR1C2	Reactive oxygen species
AKR1C3	Reactive oxygen species
AKR1C4	Reactive oxygen species
NQO1	Reactive oxygen species
CBR1	Reactive oxygen species
AHR	Reactive oxygen species
LPO	Reactive oxygen species
NOX4	Reactive oxygen species
CYBA	Reactive oxygen species
NOX1	Reactive oxygen species
NCF1	Reactive oxygen species
NCF2	Reactive oxygen species
EGF	Reactive oxygen species
EGFR	Reactive oxygen species
HGF	Reactive oxygen species
MET	Reactive oxygen species
GRB2	Reactive oxygen species
SOS1	Reactive oxygen species
SOS2	Reactive oxygen species
HRAS	Reactive oxygen species
KRAS	Reactive oxygen species
NRAS	Reactive oxygen species
ARAF	Reactive oxygen species
BRAF	Reactive oxygen species
RAF1	Reactive oxygen species
MAP2K1	Reactive oxygen species
MAP2K2	Reactive oxygen species
MAPK1	Reactive oxygen species
MAPK3	Reactive oxygen species
MAP3K5	Reactive oxygen species
MAP2K4	Reactive oxygen species
MAP2K7	Reactive oxygen species
MAPK8	Reactive oxygen species
MAPK10	Reactive oxygen species
MAPK9	Reactive oxygen species
MAPK11	Reactive oxygen species
MAPK12	Reactive oxygen species
MAPK13	Reactive oxygen species
MAPK14	Reactive oxygen species
JUN	Reactive oxygen species
FOS	Reactive oxygen species
PIK3R1	Reactive oxygen species
PIK3R2	Reactive oxygen species
PIK3R3	Reactive oxygen species
PIK3CA	Reactive oxygen species
PIK3CD	Reactive oxygen species
